timestamp,household,device,attack_type,prediction,confidence,cpu_usage,ram_usage
02:56:56,Household_4,LightBulb_2,Scanning,malware,0.93,,
02:56:57,Household_3,Router,Normal,benign,0.99,,
02:56:58,Household_2,DoorLock,Scanning,malware,0.94,,
02:56:59,Household_1,Thermostat,Normal,benign,0.95,,
02:57:00,Household_4,LightBulb_2,Normal,benign,0.94,,
02:57:01,Household_4,Camera_4,Mirai,malware,0.9,,
02:57:02,Household_5,DoorLock_2,Mirai,malware,0.95,,
02:57:03,Household_1,Thermostat,Normal,benign,0.93,,
02:57:04,Household_4,Camera_4,DoS,malware,0.97,,
02:57:05,Household_1,LightBulb,Normal,benign,0.91,,
02:57:06,Household_4,Camera_4,Ransomware,malware,0.87,,
02:57:07,Household_2,DoorLock,Normal,benign,0.88,,
02:57:08,Household_1,LightBulb,Normal,benign,0.87,,
02:57:09,Household_3,Camera_3,Mirai,malware,0.96,,
02:57:10,Household_5,Router_2,Scanning,malware,0.98,,
02:57:11,Household_3,WeatherSensor,Ransomware,malware,0.86,,
02:57:12,Household_5,DoorLock_2,Scanning,malware,0.85,,
02:57:13,Household_5,DoorLock_2,Normal,benign,0.97,,
02:57:14,Household_4,Thermostat_2,Ransomware,malware,0.98,,
02:57:15,Household_3,Router,Mirai,malware,0.96,,
02:56:56,Monitor,RasPi,Normal,benign,0.87,21.6,22.4
02:56:56,Monitor,VM1,Normal,benign,0.92,35.9,21.8
02:56:56,Monitor,VM2,Normal,benign,0.95,36.3,27.5
02:56:56,Monitor,VM3,Normal,benign,0.97,79.3,69.5
02:56:56,Monitor,VM4,Mirai,malware,0.87,81.6,71.5
02:56:57,Household_5,SmartTV_2,Mirai,malware,0.9,,
02:56:58,Household_5,SmartTV_2,Mirai,malware,0.98,,
02:56:59,Household_1,Camera_1,Normal,benign,0.96,,
02:57:00,Household_3,WeatherSensor,Normal,benign,0.91,,
02:57:01,Household_5,DoorLock_2,Normal,benign,0.95,,
02:57:02,Household_3,Camera_3,Normal,benign,0.88,,
02:57:03,Household_2,DoorLock,Normal,benign,0.93,,
02:57:04,Household_5,Router_2,Mirai,malware,0.95,,
02:57:05,Household_3,WeatherSensor,Normal,benign,0.92,,
02:57:06,Household_3,WeatherSensor,Scanning,malware,0.88,,
02:57:07,Household_4,LightBulb_2,Normal,benign,0.91,,
02:57:08,Household_1,LightBulb,Normal,benign,0.9,,
02:57:09,Household_2,SmartTV,Normal,benign,0.92,,
02:57:10,Household_4,Camera_4,Normal,benign,0.89,,
02:57:11,Household_2,DoorLock,Normal,benign,0.91,,
02:57:12,Household_3,Camera_3,Scanning,malware,0.9,,
02:57:13,Household_3,Camera_3,Normal,benign,0.92,,
02:57:14,Household_5,SmartTV_2,DoS,malware,0.91,,
02:57:15,Household_2,Camera_2,Normal,benign,0.88,,
02:57:16,Household_2,SmartTV,Normal,benign,0.91,,
02:56:57,Monitor,RasPi,Mirai,malware,0.99,79.6,57.1
02:56:57,Monitor,VM1,Normal,benign,0.94,29.7,37.6
02:56:57,Monitor,VM2,Normal,benign,0.9,14.3,49.8
02:56:57,Monitor,VM3,Normal,benign,0.99,32.5,54.5
02:56:57,Monitor,VM4,Normal,benign,0.97,43.9,53.5
02:56:58,Household_1,LightBulb,Normal,benign,0.88,,
02:56:59,Household_5,DoorLock_2,Mirai,malware,0.93,,
02:57:00,Household_3,Camera_3,Ransomware,malware,0.87,,
02:57:01,Household_3,Router,Normal,benign,0.93,,
02:57:02,Household_1,Camera_1,Normal,benign,0.92,,
02:57:03,Household_5,Router_2,Scanning,malware,0.88,,
02:57:04,Household_4,Thermostat_2,Normal,benign,0.97,,
